activity_id,activity_name,actor.user.email_addr,actor.user.type,actor.user.type_id,actor.user.uid,category_name,category_uid,class_name,class_uid,cloud.org.uid,dataSource.category,dataSource.name,dataSource.vendor,event.type,message,metadata.original_time,metadata.product.name,metadata.product.vendor_name,metadata.product.version,metadata.uid,metadata.version,session,severity,severity_id,status_id,thread,timestamp,type_name,type_uid,unmapped.AppAccessContext,unmapped.ApplicationDisplayName,unmapped.ApplicationId,unmapped.AssertingApplicationId,unmapped.AuthenticationType,unmapped.BrowserName,unmapped.BrowserVersion,unmapped.ClientIP,unmapped.CorrelationId,unmapped.DeviceDisplayName,unmapped.DoNotDistributeEvent,unmapped.EventSource,unmapped.FileSizeBytes,unmapped.FileSyncBytesCommitted,unmapped.HighPriorityMediaProcessing,unmapped.ImplicitShare,unmapped.IsManagedDevice,unmapped.ItemType,unmapped.ListBaseType,unmapped.ListId,unmapped.ListItemUniqueId,unmapped.ListServerTemplate,unmapped.MachineDomainInfo,unmapped.MachineId,unmapped.ObjectId,unmapped.Operation,unmapped.Platform,unmapped.Site,unmapped.SiteUrl,unmapped.SourceFileExtension,unmapped.SourceFileName,unmapped.SourceRelativeUrl,unmapped.UserAgent,unmapped.UserId,unmapped.UserKey,unmapped.WebId,unmapped.recordType,unmapped.userType
99,FileModifiedExtended,daniel.ward@virtualmail.io,User,1,,Uncategorized,0,Base Event,0,48s06p48-i1Z5-4A9o-iC21-MUFR3YNS3932,security,Microsoft O365,Microsoft,FileModifiedExtended,-,2024-01-29T19:41:27,OneDrive,Microsoft,2,e4d542e8-b6d3-4a33-9a78-376406d188b8,9.7.0,log_session_9100378864597745983,3,0,99,default,1706579426508966282,Base Event: Other,99,"{""lDPacsbsBaYL"":""75d340Hd-j916-8j0u-U54Q-5g52w3X22443"",""VSQxQHUPVfwAv"":""XEuRHhAv"",""uoXgMGWEHXeuD"":""Q32t01m2-811f-1308-V23E-4613Q518rqKV""}",RzyjvhWb,,,lYRhq,,,32.288.32.722,B40f37F3-337r-2286-X60D-7291W823Fcmh,01.325.29.803,,ceagQOPuAK,07361,,LgIgH,,IuVjZ,fpUY,8,X347I5N9-3668-9o9y-262R-613h74946Rb4,8C972886-8P18-1L3M-nZRX-7H48dq80uH79,964,,,ItPqJ://SrzpGSoramcK-Mz.XprwjStbEE.qEb/RWpOhpBW/qZLTIgz_beYbJNVVtFZX_lUN/EHIseAcYm/Tm VWbiW VwxymQr tuyI.cCKN,vQxfbZnlPNXGMBhzYoFZ,evC,958g1N20-r12f-8We1-o6V2-0sM78p9L6P78,rAUbu://TstgnSIHVuvk-Ek.sFcnJvOYWb.Ywo/JyIlARKE/XoJuRsD_DiBpqNqcpAOa_fzH/,Mnaa,Br SlMZV iXuahXo vJUs.azLk,CQIPTeyEX,FOfok,NJREzuO@ImhIVqOqLCVm.bVl,X:7t.x|AwbQRdSeNh|638815403008A594@PNhh.rca,2F05906q-40r9-3q0O-25w9-05d53R2TMc66,8,2
99,FileModifiedExtended,lisa.brown@nonexistentmail.net,User,0,,Uncategorized,0,Base Event,0,95M65h40-O3e2-8s4u-LT92-BklM1Lzw9047,security,Microsoft O365,Microsoft,FileModifiedExtended,-,2024-01-29T19:42:00,OneDrive,Microsoft,2,d0a9512d-2a8c-4c4d-a4a0-9d867f5722e5,7.5.6,log_session_9100378864597745983,3,0,99,default,1706579426509174957,Base Event: Other,99,"{""IHSfUcWHRXKq"":""09E837rd-s609-6B1L-l64E-6L99O9E17869"",""qQQRoYGkxYasl"":""PrwVSQdW"",""zjCLeoUUesFxa"":""n72B62V6-561x-5803-jM23-BRk2295Bh99K""}",vFKyUPVM,,,kcDpi,,,49.036.09.30,a89b34j6-810x-2670-eR71-BeC3332bS32b,99.037.94.64,,KSRBQupjUI,02065,,tHaHB,,fuKoY,GuNE,0,q295l5P1-2034-5t6G-591X-037g32736tw1,9c077122-8G05-0f8F-WlmS-8u13yD96Fl86,543,,,SfZkE://GScJtZBJnrGv-Wr.yFNXFhajZO.Uob/DEOilOhM/roMWVwm_IOeETEmeeGBg_Qzf/FuYvrJxAr/Mf LSbqR UHuQlUS hrnA.uIrQ,jaoGUQlvovEzgozbjSvy,dHU,211u9l22-p57q-2Ve8-d1G6-5fS21B9u4h90,XNOaL://RPrxYlzfunNE-HV.aiogQWFtHi.pAC/LFFmjQPE/ywwisbp_mUdqHJEPHvIz_mJh/,MrXB,vD zUbXW uMRVpiu bXgd.sYPN,qVxikYpuD,cscvM,OOWgvHf@cNNURXpbpGNM.lwu,t:3J.G|BkvjKLohTI|949417535409L560@bLvg.JPE,9V63727W-30b0-9t0l-65W0-23T72v2HQk88,7,0
99,FileAccessed,mike.anderson@example.com,User,5,,Uncategorized,0,Base Event,0,41D74I11-I4X4-2S3n-xf75-UtaO3PCS3804,security,Microsoft O365,Microsoft,FileAccessed,-,2024-01-29T19:42:15,OneDrive,Microsoft,4,078e33c9-b134-4125-92e1-f4e3f9a641a7,7.5.5,log_session_9100378864597745983,3,0,99,default,1706579426510001733,Base Event: Other,99,"{""FZKgyOKePsUcy"":""ncevPTur RLPYALiVVv"",""TLJXUddnNjEhk"":""W7ZzbMGvbFObiQbCNvH1WL"",""owqFPDSSxCWlh"":""a21w56z6-7124-7537-ik32-O94FDrg56427""}",sAGISrmg NRZLrMZQCC,,,cLGwf,,,72.662.00.325,P47e83N8-3961-9944-Un19-n64Xdbc14937,87.66.350.22,ShvH,vNGSixoiQW,,,mhrxp,,ucSY,fzPU,5,B198Y6zm-5434-2w7h-74i5-8f0072258H58,68i701G6-u348-08pM-i702-9dv4j695Q19U,088,,,yaXVx://zNiCGxHHvXKK-Ov.HkSNDOGyca.dXf/KWnjoMMA/qqReG_oIefTkhCwJWE_smX/khZtvWIyt/MdVxXIb/rXAAK gXTA BQHl/rMwYn MKpm p&j.tCg,qfNzzWuWhehY,cBsFxEV,S47St136-5I71-453z-E5K0-958l7z49l423,ArVnf://FnZwXHOqKoBE-hU.wAeMaIoLJM.VRw/MwGJcBlI/HqqaM_mwpRDeUGBczF_cEn/,zyC,IbAZJ ltgp X&E.FNz,xExcrjsHn/jcPMtac/hSREV ycCG PmMB,wjydqGyJfEh-uAoZeciuz_ndkGQwTvE/8.7,UTznG@PpAXjUZvXBoD.NZt,s:4z.I|kfXRKxlYex|57953202436xo224@KhbC.MJs,cE6636A2-w9m2-2eJk-823p-hK567603Ca5U,4,4
99,FileAccessed,jessica.clark@mockmailing.org,User,6,,Uncategorized,0,Base Event,0,18s13y43-k9I3-9H8t-mX25-AKPg8KvE7456,security,Microsoft O365,Microsoft,FileAccessed,-,2024-01-29T19:42:15,OneDrive,Microsoft,1,5c3e0014-4b0c-4dd4-82b4-5449a04e12a0,5.5.1,log_session_9100378864597745983,3,0,99,default,1706579426510204265,Base Event: Other,99,"{""HWYrQgfXvxASw"":""PTPSNeem WMbdYxmOnb"",""OkcqePhdTHlsW"":""P7seVNzYVkQLXacjMac1ks"",""SMRntjlWjYJDl"":""P48G59t5-S227-1234-Pt38-e026564Z10u6""}",SCKbSHdE SDarWRFTkr,,,AloAQ,,,51.675.40.466,C62d33B1-B436-1497-fs62-B188485F06g3,10.20.272.58,jZDK,gHWMOwjyWT,,,lGVvA,,KovJ,nbak,5,S365R6pn-8091-2z5F-77B6-7P1234619S19,38i779s5-A204-14nT-J977-7tI3M701X46B,346,,,IYsde://RbrqiasxhNff-nN.PqjXNspTHU.OvA/fESBmlvm/VEdno_nQVVthykKjKj_rjc/lvdexzzpe/gXOoTTl/dcUwW QdzB R&G.TUm,yZOpZfGcCiAa,BolLUMS,s27Io390-4C40-402v-I8A4-363G3O41h161,mzMIq://bouikdqpxJbj-ps.JvTHDquDIX.GHi/aPURHHLN/aDswU_oCahdxxXTPkk_NDk/,knM,bLjfq AEne w&D.QPL,HnLtHATIz/MWEmisY,EbOUdhLwEnD-ITWPnYjSz_ZdLuBhZvA/3.8,YwEwD@bKgEHCUeQCPe.meO,d:8R.a|WyhdEPmrXX|21350566541ID393@ygZc.Vit,gU7645n4-j1s7-5LPt-476B-qH683852xi8S,3,9
99,FileSyncUploadedFull,emily.white@dummyemail.biz,User,1,,Uncategorized,0,Base Event,0,98U28n99-j6i4-4W8i-Bg29-tSmW2eBb4293,security,Microsoft O365,Microsoft,FileSyncUploadedFull,-,2024-01-29T19:41:23,OneDrive,Microsoft,2,ea78a2e2-6901-49eb-9f8c-f6db42e835f8,6.5.3,log_session_9100378864597745983,3,0,99,default,1706579426511931101,Base Event: Other,99,"{""VhQgSzVdkaZh"":""74uJ4jd1-330p-0l5C-xo5c-5257746ahpa7"",""eZraXFVZSoNQe"":""oFGEvqlMYdny"",""vAQdxKTgKKblmgoly"":""9696-18-29B90:68:40"",""FmMOnYOOatFdB"":""FbZ6kzW9M2LUWUDw5c43xF"",""YsXOPTPpKOReM"":""b79H87z0-8658-1528-Lsj8-66kz496b6c9x""}",aagAJJNlswYp,,,tJHufJpJTFReuBk,,,2017:7v93:5120:8q64::J173,n42l07b9-8456-8688-ccr4-82cV155S5x9b,8z67:847:0943:4a:18d3:7126:92vO:B9Y5,,VnvvpDlnjC,,8482356,mrSCl,vy,gfWe,hpUg,1,h607m2iR-5208-8u5A-14R7-5z0305343v20,2z372359-Io74-5715-13Vy-1510371uPk15,231,52606k7w-Je08-2A92-SM8J-FE8020277Jd1,719173TO-v2IC-7Lof-l92s-1mSF78579385,YHrof://LdaLnGyoswHV-Ia.jVbPqXpYDz.Mul/HcacLNdv/FqcKg_QlElmpVLxPuE_npg/rygfrNZGP/mIFWyNO/ChVCR GGrtxo qk CvtY.YJb,JPUsjsouMkHPpxlieZso,JccTVZMvjq,n02AT873-8O11-279p-q6p9-641p4U04S063,XZTYR://bGTByUCvAgFL-Ov.eVJhEWDFcB.BCQ/AqEYUWsL/PUvnw_apnXBWxSqFqg_hoN/,dxd,MKRNz ZsdsQP ne loDK.SEE,kbQalxudw/oCrztBy,AaiUPzDXO RHALnqhHkqat 97.917.4068.3492 ERaU; zaCGFmS WD 57.3 (09288),xfpfZ@YtRcKpysnGqt.ivn,e:0g.O|DlomdHZoDI|13563954279ER908@aDZD.tZy,ol9654G5-F9E5-0EXW-531n-Cl567841Gm0J,9,9
99,FileAccessed,chris.martin@sampleco.co,User,6,,Uncategorized,0,Base Event,0,66L05G79-c7Q3-4u4F-gn73-TxUm2lPH3058,security,Microsoft O365,Microsoft,FileAccessed,-,2024-01-29T19:40:33,OneDrive,Microsoft,7,8e15da17-0f57-4f46-aed8-7a68de446bf5,5.2.1,log_session_9100378864597745983,3,0,99,default,1706579426512775899,Base Event: Other,99,"{""VJwpaxVjoUZ"":""t2539Qm1-50V8-6312-EHWH-PeC7768VA92v"",""RHMODKzWIakfG"":""ckbCgChsG SgMMAx"",""vyWJfYkJzvvrV"":""9Q5F75t4-i050-1505-kZ00-i7363MLo00m4""}",AsrsekWtb uYjHda,d2043Wz9-34r7-3521-cxaj-Kot6924DU62z,,QLnMY,,,61.827.325.24,9r6J37k2-i529-8703-Wf00-s2099ZKE30v9,26.96.16.411,YtlE,lOdujIvxyt,,,YbuEv,,GYQri,QRoD,3,85nM819l-Z5M0-51Q4-12VU-642o2U84EpPR,2lF4Ln6s-HQD0-5T74-51l7-b6i70N5vcUs8,870,,,Qhocf://HpFqOtZtQcet-wi.ItuHEiSTJG.dfK/RfbeEtgK/qrdjVpq_qiCkdODTfkap_XUu/jVfWpUFNw/jjrKeRg/Tv KTZnf JKlGD/HkKjolmX Gj LmMnTyXh lNWbPi/cpc/4777_tRsFRpllI zbfqgQZ RcSOtIiYm_1578.yocF,RetQmPrsOJLj,cwCHzvu,50684w2Q-Bd86-2701-0E9S-0867q7t31010,zeoDK://xDWtEMxCKPmA-iH.xgUEhNPhmF.TkY/XbmhyEMw/NKQuvyz_gOvUHUScXVRy_wTO/,VozW,8069_yuYHWjbZP cDZPIWn YFivoliyB_0360.RkBy,bcWmwsSJf/cMbGHCu/Mx CSQYU aDxWe/sheuagFA uG fqdMJPFG RxnDtE/bQv,EuUpLjFaqdMKQ/3.4,YqSHrGb@tsgFwDXZpuiI.AmU,L:6P.X|FLtgTWGcnU|54915083526LAn27@Qrxx.iTB,0u34K067-850A-3D99-Jxz4-19H4fs78h9cD,0,5
99,FileAccessed,lisa.brown@example.com,User,6,,Uncategorized,0,Base Event,0,18Q77O34-L2W7-4I7I-ak54-dptB3kFC5965,security,Microsoft O365,Microsoft,FileAccessed,-,2024-01-29T19:41:08,OneDrive,Microsoft,9,f719864a-d489-4483-b8a4-c235cf6f32e1,8.0.1,log_session_9100378864597745983,3,0,99,default,1706579426513206073,Base Event: Other,99,"{""aBJRjOyZOmkI"":""6j75FP6j-817B-2cA0-o5i9-884CB95b5R89"",""nDEKnCfalXNuZ"":""GHeHbWK"",""mFheVSrRrCUjRtJhv"":""0553-97-94E31:83:33"",""ZHiOjBzBeycdI"":""9SlhuF23FDwK_23KM1EAcT"",""hVzRzMcWihwlF"":""f35F97u9-493o-6202-vn24-W354d1jL364J""}",ZobAnDU,,,MGPvEGJlVVRWlmM,KABiar,128.3.2.0,32.15.8.457,B49h01r4-171V-2562-fC26-n454Z8yf437C,3o87:737:9275:25:2L20:UM8q:351l:9sV,,rEgYjmjtTX,,,nkLjP,,OjgBm,vlLl,8,4691I5K1-07JE-1C38-2496-uI8l2t32hfdV,47dGNRh1-9o41-0y69-0e6V-33BBA88M81ex,057,,,iPBZh://lxyhhEcgDoYW-Rr.HJOuftcapk.gol/bCsLefOy/jG648010_IPeiHKgNMMNZ_BdR/FEgMQNgII/zxAtxjXgh PHTJnjgagk 0673.MOcR,DrqvhousmePn,InwSWpkiOu,8pc2213V-68o5-95Q5-86q3-W42h66w384K0,wntYb://EQxdIdWVwOaW-iU.tzNpsFaMJj.els/MntRVyRB/Tk078112_TVykOnYEAxTd_ZXw/,cQXg,zekOsszeQ bvVpgrbFwd 6542.rxqu,KUBqfKhjZ,"jPxnzwb/6.4 (xsNrLCb kF 15.8; nCp79; x61) QjmCAzpjKxC/174.84 (uIfOW, iOHT FNqQQ) BSiYbf/715.7.5.5 RtFvsm/008.49",Yu441956@CKfigqBoLJEl.lMm,X:2c.B|XkvIlGhAhV|95530483Y8AP77R7@xCgg.ZyG,96b4J427-1q7P-21Y2-k534-M8N14739A7t5,7,9
99,FileSyncUploadedFull,brian.hughes@samplemailing.co,User,4,,Uncategorized,0,Base Event,0,81w10i68-E8v5-1T3F-GA86-TmTd3xoJ4650,security,Microsoft O365,Microsoft,FileSyncUploadedFull,-,2024-01-29T19:41:25,OneDrive,Microsoft,0,1b20ecab-2b0a-442c-9b79-478cfb1df6e9,5.9.3,log_session_9100378864597745983,3,0,99,default,1706579426513415042,Base Event: Other,99,"{""zgkASmQoDpSl"":""o5e977S9-Q74t-5zy3-166C-1547S89u516R"",""cQnJUbuQiMUin"":""JemMFrMSmMhQ"",""DqGOIWcyITiecKYyN"":""5817-34-36w64:59:93"",""wsYVMFoTsbXMp"":""FMUtLRnMUVzD993pWos0vO"",""oPzYkxDEtbvoh"":""l84n88P2-05pD-3346-s29L-12tgI07801t8""}",ZluNLgSBUENU,,,JbxbZFTbZGoTebc,,,3943:4739:5v28:0900:m6V5:vy3D:29sM:482M,l89p82d2-34hy-1629-Z53r-87xZK80602q1,0E33:914:0584:5k:l8ZD:58e3:c9Q3:23v9,,omKKpVnPnr,,018,aEMFR,Hj,Jmvt,kkmi,2,4B8Z69F0-8361-84b4-7E4j-05sij6lEogQH,372n7606-1ML8-1680-5io7-3X1y2900P3Y3,290,83608i3M-Qz13-2E23-vH1L-Cc0542406mA6,Z57SLF95-1Uu9-9R9a-3191-400Y47j0B5FP,fYtNC://yZFqUlwziPob-ko.XXgddmtHoD.HHT/haqDqFvQ/QnfLAxmx_HHaqYpVnEqBW_uKN/potNlugVV/qxInYxJ/JIPtEbU.sOZ,ZtGctKHrIiqYXoUmdySc,qDTptNcdgU,c4143018-d526-9U19-2R66-Ph3S7105356f,GjIBS://LDLJgEZVUurZ-Rw.mHxJkqKGgJ.jhZ/leQpMnfo/DXIclKSW_CBYmOTtuJzim_BXU/,SpW,AtVxITJ.ILk,LkXeaTmhy/YGYryZg,mpVugzebX IcyrwCvEuQyK 04.238.9963.8628 AJSy; JBreqYP MC 71.9 (45356),dIsWXcqg@jnBGDwNDhPys.idL,B:0a.R|BUqwdtRTIu|64040092463455H8@CzEP.ZuA,23w4N825-5O4q-667b-P98I-57975Qg17k58,2,1
99,FileAccessed,mark.miller@yourtestmail.biz,User,6,,Uncategorized,0,Base Event,0,59z43G83-B9x6-9W7x-Er26-oJho6aBg5466,security,Microsoft O365,Microsoft,FileAccessed,-,2024-01-29T19:42:29,OneDrive,Microsoft,0,19a1d2a0-29e7-4bd4-86d5-11c137efbd0c,1.1.7,log_session_9100378864597745983,3,0,99,default,1706579426513834240,Base Event: Other,99,"{""LQBnDZGzIBap"":""H2hh2372-7mW3-8lJ2-08I0-370695297620"",""QDgkBdRuJtMBV"":""QHdEBVIK caZ MPh (lwPBiF)"",""ODtpJuwQxiQmY"":""RVWcXel9heEqo9vrDUE3cT"",""vZKidDnnZEeyc"":""k12L63z7-058M-3186-eo01-wH90RP05593R""}",ssDFNtgx Bem HXn (SGdwfc),,,CwbuVYSruUPcrMf,roavgH,801.4.4.7,93.417.984.04,U33m10e4-558B-5262-iE12-uI04ik83915O,2o32:099:4790:9i:28Oc:N601:26B4:R68D,,tzfmeQzSZY,,,LUHld,,pQTIV,soIE,7,Y5z16s23-265G-9P4d-E070-b0559944i809,987706l3-1t77-0143-55P9-x003v17L5206,988,,,HfgBI://kLiWvofXGJex-hP.vgOyCcfXNq.bvq/llzuKrip/va040314_xGTRLonizSDi_UOH/guhdhQPLB/ZJtDe/gfc.myMv,undogHcABWpF,hQnQsjSAoz,a157u329-6Ua7-9p1V-q0R1-5277LJ027873,IaVLt://WbcabryGGRBg-xP.qWhcovnvUa.pIR/UhbDVeWI/DY322474_kQSHNtBuQuhg_nuK/,YKcW,Llg.MSuY,eVdKkauIs/BWKzc,"wdlrzah/0.0 (pdaoXaU gJ 37.4; dPj15; i79) YkkdUNUJzNa/955.82 (ToTej, wDEK HkHPp) rtZtPT/221.6.7.9 NYDwPi/187.08",vZ006815@WUMnJxXloGYC.Znw,V:1B.t|RIBVumdMIt|82558741EJ7615zk@DXVg.uiY,0146820O-7l51-7917-C71W-u5101i0P01K2,1,3
99,FileAccessed,sarah.wilson@testingmail.xyz,User,2,,Uncategorized,0,Base Event,0,08E78Z21-Y9q1-3B0w-kU35-azCk8PeT3525,security,Microsoft O365,Microsoft,FileAccessed,-,2024-01-29T19:42:19,OneDrive,Microsoft,6,7cfa9ac2-6e0e-4f7b-aa55-ff833204ea03,7.5.0,log_session_9100378864597745983,3,0,99,default,1706579426514241505,Base Event: Other,99,"{""KsARYMLgINdE"":""U1Bv6873-0HT2-9AF4-78e5-066155684672"",""MUfLQKFhoIoLH"":""VOhu"",""wncWslzxBKuPO"":""F76Z24u6-j8gW-9038-zQl3-93tl3o2r9M60""}",GfqU,,,PvDgl,,,5e69:106:q554:D067::O060,w59k13E9-T2nA-0028-TrT5-87DE6n9G4G86,81.381.198.55,KSmW,OBGXCezCfA,,,LHCST,,kHoMu,JwuO,2,e0x48z80-495K-9R1y-Q868-l4209135c044,n5812d7T-0zMM-7922-07l8-zb20477241zX,853,,,MDIDo://QTZjHfATJJaP-ER.RrFvkjGBVi.xJb/mcTufbBZ/sh402832_AqPLnBFkthVP_apr/ectCAaYxY/WqxQ YKKxLKx iT sPeFlCrJCL pQUbHDb 0864.HohE,bWmIasjxrhGJ,JlcJEdE,w228X985-2VZ6-3Z5w-a0W9-1734Ac698796,yHCsE://iJyXsiVUVpAj-Tj.DBhIjlvgEs.zUj/WtweddWW/Ju198898_vyQqTQLjCBtx_PGe/,Vivv,RsGQ vVxeuLd HD eXfJAeeIom ynJOUzb 2317.WlnP,zCMSggcye,soLGxjAHDlCod/3.9,JA533285@xhlwkbXyaJpQ.Xsa,T:3F.j|FHkTwEYHlP|33672782ZY9645AM@BZFP.lhC,5198713a-7y40-3925-V57Y-X5555q4f99X7,7,1
