activity_id,activity_name,actor.session.uid,actor.user.credential_uid,actor.user.email_addr,actor.user.org.uid,actor.user.type,actor.user.type_id,actor.user.uid,api.response.code,category_name,category_uid,class_name,class_uid,cloud.org.uid,dataSource.category,dataSource.name,dataSource.vendor,device.ip,device.is_compliant,device.is_managed,device.os.type,device.os.type_id,dst_endpoint.uid,event.type,http_request.user_agent,message,metadata.correlation_uid,metadata.original_time,metadata.product.name,metadata.product.vendor_name,metadata.product.version,metadata.uid,metadata.version,service.name,session,severity,severity_id,site.id,src_endpoint.ip,status_detail,status_id,thread,timestamp,type_name,type_uid,unmapped.Actor,unmapped.ActorContextId,unmapped.ActorIpAddress,unmapped.AppAccessContext.CorrelationId,unmapped.AppAccessContext.UniqueTokenId,unmapped.AppId,unmapped.ApplicationDisplayName,unmapped.ApplicationId,unmapped.AuthenticationType,unmapped.AzureActiveDirectoryEventType,unmapped.BrowserName,unmapped.BrowserVersion,unmapped.ClientAppId,unmapped.ClientIP,unmapped.ClientIPAddress,unmapped.ClientInfoString,unmapped.ClientProcessName,unmapped.ClientRequestId,unmapped.ClientVersion,unmapped.DeviceProperties,unmapped.ErrorNumber,unmapped.ExtendedProperties,unmapped.ExternalAccess,unmapped.Folders,unmapped.InterSystemsId,unmapped.InternalLogonType,unmapped.IntraSystemId,unmapped.Item,unmapped.ItemType,unmapped.LogonError,unmapped.LogonType,unmapped.LogonUserDisplayName,unmapped.LogonUserSid,unmapped.MailboxGuid,unmapped.MailboxOwnerSid,unmapped.MailboxOwnerUPN,unmapped.ObjectId,unmapped.Operation,unmapped.OperationCount,unmapped.OperationProperties,unmapped.OrganizationName,unmapped.OriginatingServer,unmapped.ResultStatus,unmapped.SessionId,unmapped.Target,unmapped.TargetContextId,unmapped.UserId,unmapped.UserKey,unmapped.operation,unmapped.recordType,unmapped.userType,user.type,user.type_id,user.uid
99,UserLoginFailed,,,laura.moore@sandboxmail.co,,User,6,04c6f792-cda4-4f9b-95e8-d0edf8dfbe5a,,Uncategorized,0,Base Event,0,8538f8H2-429c-7159-0D93-g020x03O56O3,security,Microsoft O365,Microsoft,,,,,,,UserLoginFailed,,-,,2024-01-22T03:27:45,AzureActiveDirectory,Microsoft,7,d1cc93b4-5d01-48c2-8309-903c8f1accc2,2.5.2,,log_session_9100378864597745983,3,0,1500208142010913854,,,1,default,1706495443406657230,Base Event: Other,99,"[{""LTSB"":6,""nd"":""4E5w1Yl1-7023-8Uke-P825-fX745lE5yB86""}, {""BVVl"":0,""mp"":""mMnUTnxHylL@WgASCXtyzaUwYzqczau.isoyRFcWOUc.bKO""}]",5254y2D3-978P-4279-1h96-P336C99h65b7,969.305.857.81,,,,,63471759-8727-3pH6-gx13-606902732495,,2,,,,436.038.732.28,,,,,,"[{""Ulixh"":""xUndPNM"",""hMYs"":""jG""}, {""poViw"":""BD"",""oLHK"":""BUIbHrtcAzL""}, {""XClvv"":""31UO0859-726q-8EH3-t76K-qfV4u0918zN5"",""pcVy"":""lxotCicPr""}]",36111,"[{""bdliU"":""SPoEiwM"",""Yyqz"":""oLdGtZUtDikuVibESn""}, {""LeWYP"":""AuEWOfw\/3.3 (xZFVCYhtuR; sPvd 54.1; tOrtYSJ AX 8.1; aAxBwBy\/6.4; cI DxmhshVoL; funHuaYds; Smx|YcjnyHXau|IBNmcKP\/94.2.4.4166|oYXapgdSmyE)"",""wAmj"":""DrHGTQrUh""}, {""MILbx"":""emQCP0:clJMyXiez"",""BrVc"":""obDGlEzgljL""}]",,,404345l5-Q4J8-4687-Vg27-277w1fI6143i,,9meNj552-9069-94D8-0600-177635784700,,,nHlrGsEQlIzpFvBZyo,,,,,,,21721100-4932-2dR5-BV52-589280433902,YBXwbrqMppEqXOH,,,,,alSMMyv,,"[{""Oyyz"":1,""Mf"":""51826468-9932-8hi2-TT21-602791154689""}]",7787t6a6-559j-6817-0R86-j505E29k56K8,VZKIKTPAifv@RcprKYmGlwNSLBINkFC.PeuTrsbrFAv.oNz,2k7k4of7-2975-4oDH-L201-yW369Si2fI92,,29,3,Dpwg,4,69309912-3837-3jz8-Ir19-089100867759
99,UserLoginFailed,,,kevin.green@placeholderemail.co,,User,2,8b201ded-12c1-4a3b-8a36-df548fa0a745,,Uncategorized,0,Base Event,0,5418c6c8-596E-9205-6b14-J233g20x34A6,security,Microsoft O365,Microsoft,,,,,,,UserLoginFailed,,-,,2024-01-22T03:29:43,AzureActiveDirectory,Microsoft,5,3d1bfa42-d1f7-4a95-bd61-0dd219cde31d,2.9.1,,log_session_9100378864597745983,3,0,1500208142010913854,,,1,default,1706495443406992088,Base Event: Other,99,"[{""CuJV"":9,""wL"":""4C7i8vs6-1730-1PmI-P281-uq532HV1dv72""}, {""dVuI"":1,""ym"":""gpYQAajTuIi@FGWymaOeMVDXtEiGpjK.gaNzREYZyfY.LIh""}]",1150T8d5-346k-1165-0v58-s460E28L08Z1,542.958.186.93,,,,,64386946-3045-4lW9-ZM33-417090142663,,7,,,,343.457.564.06,,,,,,"[{""GaCZv"":""iKZvphU"",""ekHX"":""oH""}, {""GZGXP"":""xD"",""Fsvd"":""kepaVkWhCnI""}, {""cqZUH"":""38Vk0630-284o-7dS2-c92B-TWK8F1138ZV4"",""BKMt"":""PESMEETFH""}]",43463,"[{""FrpTQ"":""pHFMcnC"",""Rliw"":""YczWheMNargAVsdxWT""}, {""UGhLf"":""YAZrTSb\/6.7 (yAgSaXotcs; Jpwe 93.3; EhuYbum Jt 4.2; gNazHyT\/6.0; HB JqaVNQJyU; oRdJycMYe; sPA|qaOZxWSfF|yEwpXpY\/76.6.1.3669|QaOdEfcrmtj)"",""eoiB"":""CqnrqdndJ""}, {""YwIvz"":""Zocly6:tonyPiUxD"",""TOvc"":""LaPNWUJtJDc""}]",,,337243G1-1119-4630-hF16-758FR6l81H25,,205f4794-4522-14A5-9673-r6j1JwO83781,,,qjYxCegDWBoFUwrdar,,,,,,,47449681-3623-4cl9-pj22-113671100030,ElOMhXNtavKBuwd,,,,,siLpcPi,,"[{""mTbF"":2,""gO"":""36958148-9237-9yX9-HB25-529021876238""}]",4171U0F5-352m-5280-3P27-t176w37E11g4,jkVcwRnNwuq@OtQSnvqlbCpCwLdqbyI.yDMUhRzIPFl.ePn,6E1s0Zn2-5760-5vZT-N999-lr248QA3la40,,31,0,Yhgn,6,76522182-4282-4ai6-vj04-088629967433
99,UserLoginFailed,,,laura.moore@sandboxmail.co,,User,6,b1d7a914-7db0-45b3-986d-c5f6bc36a198,,Uncategorized,0,Base Event,0,9477O0z3-898g-2569-6S24-S033F69W83d1,security,Microsoft O365,Microsoft,,,,,,,UserLoginFailed,,-,,2024-01-22T03:29:29,AzureActiveDirectory,Microsoft,4,6a271f0d-af67-4e3b-9dfe-39909bb3e376,3.3.8,,log_session_9100378864597745983,3,0,1500208142010913854,,,1,default,1706495443407324922,Base Event: Other,99,"[{""FXKH"":0,""Xh"":""0Z4s9ti3-7894-7NqN-U588-WO173Jx6Xh12""}, {""nYCY"":3,""OM"":""HecABxNiTnD@dmnldHxSeODgEbZimXX.iDBHOBqmToD.AeG""}]",0249d1J4-091h-6569-6y16-H325v01i65h5,865.076.142.65,,,,,09234124-8405-4Vm8-MO66-859167364677,,6,,,,574.478.338.38,,,,,,"[{""KwkHm"":""BErMfdG"",""LotJ"":""Cg""}, {""WITKL"":""lS"",""suyC"":""GvXowyDYQKs""}, {""EvwKC"":""04Oj9499-718K-8yu7-Z88C-gEH4W8776nD2"",""udXH"":""xuzzmtMFR""}]",74904,"[{""DfgEd"":""ygYjGss"",""VrYh"":""jjbzquJPJyWzlLqaTo""}, {""DfVWt"":""FsqaSKH\/6.7 (LDjlrxvMbA; PjvT 42.2; ZmiNckq is 0.0; pNbrWZm\/1.1; dC obvXgiZZE; JKIcBlknK; sJj|QjLhuvdim|asogDIa\/57.6.4.7426|zGBtwnHbeTI)"",""IiUF"":""OqEIHiADM""}, {""rDwmz"":""dPQyn1:igpNoQIOG"",""exTI"":""efVSxWFdEAG""}]",,,459417e3-z6ne-8838-lB89-4qO588w4YZl5,,m732074q-Wk7L-8570-Q71K-7147q8727245,,,BbmDqATqbZDilAECjR,,,,,,,64320650-5202-3Qh9-xw90-047203471862,ViknkvCgzXrPbPG,,,,,ryyTzaI,,"[{""WcMl"":2,""dm"":""59635374-2979-0oT6-bi27-600080615242""}]",9264k3W0-909d-8354-6y77-F127z16B00Q1,OGuMDomyCbr@xLiafHVsDqehJybBMvE.RZSZsoNHLLB.VPD,9E8y2ZB2-1183-6zKp-r584-Ox043QC9tW37,,51,6,DGRX,7,60515074-5843-8bk7-nf65-396265933387
99,UserLoginFailed,,,sarah.wilson@testingmail.xyz,,User,3,42d0d22a-7f8a-4966-9754-257b6e525eb4,,Uncategorized,0,Base Event,0,2317b6u7-385k-4982-4a02-P393u69X90Q2,security,Microsoft O365,Microsoft,,,,,,,UserLoginFailed,,-,,2024-01-22T03:31:42,AzureActiveDirectory,Microsoft,1,c4f78908-3834-4e96-8d5b-5a9b4b671951,9.6.0,,log_session_9100378864597745983,3,0,1500208142010913854,,,1,default,1706495443407653537,Base Event: Other,99,"[{""iSyU"":7,""lz"":""8S6b8ej7-0955-7cXE-Y313-qY168EV8lR17""}, {""iYhf"":3,""WS"":""JkIDhXiXETf@rYKwofmKyuPslOIFXqV.euLfJabZwlX.cuA""}]",7835Z9F5-497C-2986-0l99-S024G24Z90v0,708.998.298.47,,,,,94153815-9060-4Ug2-qX22-247638857536,,9,,,,211.262.261.00,,,,,,"[{""oCqPz"":""ELlGckX"",""QNvm"":""bH""}, {""vGXuu"":""Il"",""ostN"":""rbKLamcZfSx""}, {""loYPO"":""62LZ9769-554A-7Qg0-K45V-GhI6F5961Qw8"",""qCmN"":""eicEqcVLJ""}]",60759,"[{""OMCdo"":""zHfbvfy"",""JNPK"":""tZcvScwkQUxOtpmJbT""}, {""BnIcy"":""PQCzsEr\/0.6 (aufuauZchi; SMbP 83.4; SvqvRkV if 8.2; PlRgajI\/2.3; Ss vQCmqmlYX; zBzmwBZPF; Wec|SAArFDBMy|umOxguy\/85.7.6.8511|fidNuTKDjep)"",""sPeZ"":""MJtxMFcFa""}, {""oftzo"":""pWTiP4:qlPsyjzHh"",""UVwp"":""dPsrPtJnuDo""}]",,,582649P7-639z-9817-mA74-62712q98K275,,253516p1-4451-5631-JP46-0uE5Xhe21304,,,dqDABuQotkMfENSDyX,,,,,,,95254640-1559-7OU5-GV67-002362198745,jDMeMeddZkkIWqA,,,,,UnIWoor,,"[{""xzuc"":0,""tT"":""85183071-4660-6uo9-bF67-821568525648""}]",1116e1u7-793s-7722-4p35-Q675e30X08l4,xEmwxQHclvx@ZVvSadglDTJCqlSAfka.dcEBdSkXkPF.Ezr,3r4a4Md4-9357-1qnn-j868-io754kR5pu87,,68,3,psBU,6,66764722-1761-4ce2-vy92-123940295914
99,UserLoginFailed,,,kevin.green@example.com,,User,4,b68c8b07-e684-4a23-9c7f-d927c6f23f19,,Uncategorized,0,Base Event,0,5186C7H8-762L-9133-1i49-b592m55f41s5,security,Microsoft O365,Microsoft,,,,,,,UserLoginFailed,,-,,2024-01-22T03:28:16,AzureActiveDirectory,Microsoft,1,5c3e0014-4b0c-4dd4-82b4-5449a04e12a0,4.7.3,,log_session_9100378864597745983,3,0,1500208142010913854,,,1,default,1706495443408013118,Base Event: Other,99,"[{""WrSn"":8,""YA"":""5R2i2XO0-8940-4XtX-g631-Kc947UU7Ye65""}, {""qvNj"":1,""QG"":""DtzoQcDvyTd@VzyYfWHRgdQrzUlWNxJ.WmNohPCUExH.MXB""}]",5717W0v8-381K-6229-2p03-W019M09h58c7,238.914.359.29,,,,,12048725-3396-5FM8-RS16-889475599237,,3,,,,854.750.551.64,,,,,,"[{""GqjGS"":""wDfbvqT"",""ooKK"":""vm""}, {""VLgoL"":""Ys"",""fehn"":""ULRzbOfYPym""}, {""ADhyG"":""19lV6575-913Z-0qK8-h69V-xVc7H5510Jl8"",""kYgr"":""ipEZiwROV""}]",12154,"[{""eXJRM"":""GjNDTFr"",""FHwM"":""NmLpomfvYhACuYeKtn""}, {""SnGpr"":""CkLBdZl\/3.9 (VcbSdHhBez; ahyo 97.0; btrljRk KN 6.8; NlFfJyt\/3.9; eI jJCKDrJUj; XGvHdMMQn; qwp|IbQdYbAeY|fjGFwaK\/87.6.1.4970|RasoKgLrzIN)"",""Ycmu"":""mjfIPheNx""}, {""eKGhu"":""rRYXx0:fpOtTVZiE"",""sYJV"":""VWDukmSQwKC""}]",,,019854U0-0694-9902-H19Q-8VDMlM40H5p3,,Odj464S2-62R4-2359-JHZ8-C077087g3699,,,cgjfsjuUsPyWarJcoy,,,,,,,45538749-1314-8Pm7-nr41-567321397121,tsZAZiqzXOFWkYe,,,,,xefQSTs,,"[{""CQuK"":7,""Ts"":""60507920-4495-5jA3-zu91-984808486970""}]",9973J3r1-560g-7375-3u73-y765O12N10i5,xkOTfwrdeIE@SbxqsEyeMPziOYJKvAG.iLYviLfTMZR.ofF,5T4T3ld4-4072-5HgK-L026-Hi077Nw2OT80,,1,6,igMa,5,59151603-7452-5gs9-Vj60-409391505517
99,UserLoginFailed,,,anna.hall@example.com,,User,3,06de8ec4-8f47-45d8-92a8-6621d3e6cdd5,,Uncategorized,0,Base Event,0,5670m4z6-279P-3162-2o03-t994m32S23J1,security,Microsoft O365,Microsoft,,,,,,,UserLoginFailed,,-,,2024-01-22T03:29:54,AzureActiveDirectory,Microsoft,2,078e33c9-b134-4125-92e1-f4e3f9a641a7,8.4.6,,log_session_9100378864597745983,3,0,1500208142010913854,,,1,default,1706495443408364202,Base Event: Other,99,"[{""KWzh"":3,""Ll"":""7G4j6TK0-8455-3KcC-A558-Lv734zg8Jj49""}, {""ihQR"":3,""wp"":""LDflRjlxkhA@XrLAXsGTDONSCpEdquY.sEYmHHHDxtz.OhL""}]",6415q9L3-460V-6668-3F76-Z101s61M63h2,038.790.292.60,,,,,56578726-7098-2ZW5-jD29-757941029915,,8,,,,486.525.010.37,,,,,,"[{""NAjSY"":""gQIoNLc"",""hAoO"":""Se""}, {""VBKnl"":""yT"",""TcYb"":""qqmkfUSmRvU""}, {""xDhSX"":""00qF1312-847G-9fz4-U34b-EcI6X2482dg7"",""zjCb"":""mBadeGXRZ""}]",31861,"[{""zKAJP"":""NDSTyAx"",""iRiD"":""rGQmsoBTnywZzWSEeh""}, {""rRPiP"":""osHlHWo\/7.6 (oEjUFFvmOU; lKKz 82.2; iyPBxhP ry 4.7; FeEUakX\/7.5; pK vCxyTZHXa; GdUPfeGOX; huN|lcJgcjpgS|WQdzjVN\/23.8.4.2400|coBtbLRsaJD)"",""MuaP"":""thGLpGsOR""}, {""wPDMg"":""BGmvp9:FoJfDMqtN"",""kzZC"":""DpqjUIckfcK""}]",,,141119N4-0494-1321-dL68-59ZdF47132D9,,234727X6-635w-9o7Y-i813-c22Li9652099,,,eFsetBikifwbtAfNYB,,,,,,,76146940-1526-4wk4-Sz33-556861849537,XVSWMZdhTUiYtRF,,,,,TErJhdw,,"[{""GNLS"":3,""Ad"":""34795991-5308-2DL5-Fq67-377227987966""}]",4264h6o8-381n-0357-1m43-j618m21X16t8,rrUmdeHyDgJ@LJZcWTxAFTxwhaAdFvZ.iiouMNLqtCj.yQl,8V2N2jO5-8739-7fTM-R280-Mg598hT4Sv30,,17,3,EmjH,3,11820361-3110-9Zn1-ty13-022366709215
99,UserLoginFailed,,,brian.hughes@samplemailing.co,,User,6,a3e3c25e-5a6a-4ee5-845a-5f181a1d3a09,,Uncategorized,0,Base Event,0,8269c7Z7-752G-8034-9o48-J424X32x38j2,security,Microsoft O365,Microsoft,,,,,,,UserLoginFailed,,-,,2024-01-22T03:31:40,AzureActiveDirectory,Microsoft,9,a8a5bc3c-1a16-47a1-9c0d-91c96b94af1d,4.4.3,,log_session_9100378864597745983,3,0,1500208142010913854,,,1,default,1706495443408692281,Base Event: Other,99,"[{""SUOq"":9,""zc"":""6r3C6Pv2-1660-9MLa-v152-QT038sZ8QV06""}, {""edkn"":8,""zi"":""JQLVumhEamF@uDasoJUngtWWrXOcMNn.PWZWJWfrXTI.HIt""}]",1295Q8I1-774T-8066-1S62-V658J92C45o4,030.971.956.73,,,,,99141922-9306-6qP6-Jp76-393954215477,,3,,,,784.376.405.42,,,,,,"[{""JPKfX"":""SYRuiyO"",""nggD"":""FP""}, {""wCprN"":""aB"",""NFxb"":""NlmQqBsSLzt""}, {""pvctQ"":""66ci8774-575G-1mc5-R46O-QAU1G7278ql5"",""QVAX"":""ISFJqsHvt""}]",99129,"[{""Mturm"":""VRYJHbs"",""hzND"":""gxhRANzZaJZcOIYYeV""}, {""UFUQP"":""hyYbiQc\/8.8 (UpwwBBIRrR; ksum 73.2; gYyRoqr Wh 0.8; ucZaYKs\/6.9; Vc CCCUNAnOV; megusgmZs; QBT|LREYNXOyN|KVAcNfB\/33.2.4.9004|CwGmekyHUgf)"",""unCB"":""YUsofOonj""}, {""wtvlw"":""LfOwV9:OigExEkyU"",""HsAi"":""BelZtJzPEci""}]",,,036531q0-7834-0566-j455-c99646gkBk52,,R3XO5578-o089-6m8X-4334-t4y79o694C81,,,tuAgZiGrUEVDfqbXIy,,,,,,,36168638-2690-0uY6-Nd05-058802953264,kjNiEOlBGtwrBGO,,,,,jwTSkvT,,"[{""nwZa"":2,""Ed"":""97638978-3831-8oK4-ez48-892814026796""}]",4268C6V6-520o-0544-0Q70-B431Q57n20I0,BOFkvkmxRcG@DwCijHbCsdLVgsxKEGM.HHAyZVmiQlx.iAX,2X0U1Js0-4845-1JGD-l270-yf604fl9Zn59,,12,7,fenp,0,04312572-5169-9bd5-bm06-164874261596
99,UserLoginFailed,,,bob.jones@fakecorp.net,,User,5,d0a9512d-2a8c-4c4d-a4a0-9d867f5722e5,,Uncategorized,0,Base Event,0,7015g9Z9-081Q-9278-4Y74-u678c55S43W1,security,Microsoft O365,Microsoft,,,,,,,UserLoginFailed,,-,,2024-01-22T03:29:04,AzureActiveDirectory,Microsoft,8,f719864a-d489-4483-b8a4-c235cf6f32e1,1.0.1,,log_session_9100378864597745983,3,0,1500208142010913854,,,1,default,1706495443409018756,Base Event: Other,99,"[{""qIll"":6,""fJ"":""3z1U5RE7-5343-1rSp-B890-pO123yU5wt29""}, {""bikZ"":8,""cz"":""IDaPpWyElnK@BWAsmrETEHvPfdiEHVY.VuppfjwhlMS.hNy""}]",1712q9S6-746g-0096-7T31-f886p51w50U0,377.707.184.82,,,,,64125893-2929-1ZD8-be46-056110987725,,1,,,,406.322.808.30,,,,,,"[{""BmUvR"":""iVrvPJE"",""zIBp"":""Qd""}, {""cWWKf"":""bb"",""UWxE"":""UGJmrnLCUOZ""}, {""kGKUb"":""75XX7860-473K-3mZ2-v31F-qWT0o4740gN8"",""GPdT"":""hOrLllZkM""}]",39419,"[{""HFtco"":""BYVMHjG"",""esGY"":""iREZkYqeGflJwrWiPV""}, {""XPNmg"":""fBbTHyj\/5.1 (aWEOwLykdK; EnhJ 31.1; ZwokOtQ WC 1.6; JHlLimZ\/5.8; DN bLPLrqWmT; XXGZJnqYB; ykK|rHsYnTFxg|qfcGSVm\/44.2.4.8412|NXMmQBaMXAv)"",""QOFg"":""ReFDEyLxr""}, {""OaeiN"":""bFxAS7:NPYVbXQNC"",""bmhq"":""mKklXODlOHr""}]",,,0y6251r8-567F-9018-NR56-505okCPRd765,,L297593R-v344-4183-I71F-5qs3qV312561,,,imDUrgOZagFtHoCXBm,,,,,,,73508273-6369-6Kw4-dK04-248979122152,nQkavWHgDYNttFy,,,,,TuoJpZE,,"[{""UarX"":6,""GS"":""31857785-0171-2ym8-cy41-623610187620""}]",1472r8G3-384i-7013-1e26-I771J78i48G5,bylwGiUktbg@FehfrCaRIfTjRLBGMjz.VLCnGUWFkOL.wUE,9z1H7ui8-2521-6uBs-q145-dn047MD6gJ24,,9,7,kAOP,7,14694134-5341-7Sk3-Mq45-719768401408
99,UserLoginFailed,,,emily.white@dummyemail.biz,,User,9,c7f9b4e2-c8d2-496e-a43b-6d883f3b2569,,Uncategorized,0,Base Event,0,9373d6u4-764M-0432-1B13-R156i33H26Z8,security,Microsoft O365,Microsoft,,,,,,,UserLoginFailed,,-,,2024-01-22T03:30:25,AzureActiveDirectory,Microsoft,2,e4d542e8-b6d3-4a33-9a78-376406d188b8,4.9.1,,log_session_9100378864597745983,3,0,1500208142010913854,,,1,default,1706495443409375490,Base Event: Other,99,"[{""CpBj"":7,""fK"":""3F5V8Lb2-2369-9Rsq-n078-Zz016ES5dC45""}, {""JBgZ"":6,""Fd"":""yFgDRcUeHyd@ipJCPeGWwbGumxNKKLg.rPYmaPtskXe.Cay""}]",1056a9a0-352y-9897-7g77-H679v03u80M1,518.824.883.77,,,,,23236792-1280-7wN8-pX22-835391691325,,8,,,,010.462.421.75,,,,,,"[{""tmFJj"":""RXDdBga"",""vOOf"":""Hn""}, {""feTMt"":""Nr"",""GpbN"":""HgnrpcTdjSs""}, {""vuKJW"":""18Cg1951-229V-0jb1-x12i-mPp5s0284du0"",""YVbO"":""HgwDivccC""}]",91263,"[{""jfdPi"":""zalREOK"",""Iimg"":""zxlhkaXjopYVkvmhXK""}, {""KFmLJ"":""eduybxD\/5.6 (vjrXiSoHii; Wktf 11.4; cmbZzXr jJ 8.4; lkHVoQZ\/4.3; aV TcYhIHkFF; RbyKCBlmM; OIm|diEtadynk|GgjwGaQ\/74.3.0.4810|eAefqlkNtlJ)"",""cizR"":""XgjDjesSX""}, {""sLDgm"":""waEyO9:SvpqzYuDZ"",""DIxt"":""YBuJDsaedjw""}]",,,8f8538W4-k6Vj-2241-M510-WP00u84j64Zz,,h08Y6j67-9nU5-010n-L3j4-Mr06hP1x0808,,,KnSiAYTRCJrExVlHqS,,,,,,,33410151-4793-6Ft8-KX00-944811071366,fYWdYYwCqKBeQZN,,,,,XvaJFbK,,"[{""DlqQ"":9,""Kb"":""41206208-8700-2tO7-iS91-795928054458""}]",5794G8m4-661O-5244-7W39-S067d50O89V2,hmWTuiibKPp@ZxREwAMTNAwAryZikDh.ZHCVgdMkNtf.Tmf,9q0V7iF8-4704-5npC-T219-NU698QA4kE31,,53,9,WoPh,7,38453224-5582-1zu6-fw93-254855907823
99,UserLoginFailed,,,alice.smith@example.com,,User,2,14e8d26d-62df-4bb2-9440-5abbe9d50024,,Uncategorized,0,Base Event,0,2310j4F7-276u-6576-2R02-U644k15q00Q5,security,Microsoft O365,Microsoft,,,,,,,UserLoginFailed,,-,,2024-01-22T03:29:52,AzureActiveDirectory,Microsoft,3,b1d7a914-7db0-45b3-986d-c5f6bc36a198,0.8.0,,log_session_9100378864597745983,3,0,1500208142010913854,,,1,default,1706495443409709191,Base Event: Other,99,"[{""epuS"":5,""Tz"":""4B4f4Mn4-3033-6NNL-l447-Yh060cs1Mj42""}, {""AvhI"":3,""YI"":""OmkbuEFQqGt@seuJMxeYjCQRFiBcUGK.dyeahYkRTDq.Vlt""}]",2219K4R2-134n-2009-4J82-H077B21c47G6,487.835.355.31,,,,,58023801-6377-4od8-KH40-030579256586,,5,,,,896.077.446.39,,,,,,"[{""bSiBg"":""XGcvdIA"",""vWXq"":""bs""}, {""Wbtcs"":""pU"",""vAVd"":""GRKnbwpCrQx""}, {""OScbx"":""46xA0160-427A-7cU7-R47u-IdH7g6171tN0"",""jfDS"":""pDfQpNYeB""}]",74707,"[{""MeqaU"":""LJIlMNv"",""EIhs"":""foHntupSiGtAupuCue""}, {""RygsG"":""uJWzsoD\/0.0 (jpkqIgIOjH; GxsL 68.6; TZipdOv AW 1.4; yayKpiE\/5.9; aQ nUPlFoGeU; JUnpzcAZk; VXe|MoBqNWKoC|FyhhSET\/69.7.8.3905|TpqLazGdzkO)"",""uBbF"":""pssTJKOXd""}, {""zrluL"":""FkqXg6:KGDMMYINC"",""AaXW"":""xlrDlnSjUXk""}]",,,526174F4-R3PD-0670-b41L-9FH2685Co4J2,,1V8Tu71h-503R-4O9i-7QK7-7493Dh607I38,,,aJJaSmFbQtHPBWmWiy,,,,,,,68868426-9248-8Tw2-LD67-654796286902,gNBZnppXRuWgTzl,,,,,nkJBZcz,,"[{""BjtX"":9,""St"":""81750091-7502-9Ya0-LD93-582714813918""}]",2210i7w9-364b-5258-1T97-d120q83C01P8,mmRlVERKzjL@NLcwZgjWPytjSTtAerQ.oScQuoKjRYT.Qae,6n0C1yN4-6114-7kUk-u123-ml576yF2UG31,,41,8,HFQN,8,42360046-5754-5Us4-Nz54-082298728172
