dataSource.vendor,metadata.product.name,metadata.product.vendor_name,dataSource.name,dataSource.category,src_endpoint.location.region,device.uid,actor.authorization.policy.rule.name,unmapped.client.userAgent.browser,status,unmapped.client.userAgent.os,event.type,status_detail,actor.user.name,actor.user.email_addr,actor.user.type_id,actor.user.type,dst_endpoint.svc_name,src_endpoint.ip,http_request.url.path,activity_name,device.hostname,severity,user.name,count
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Perform RealTimeSync by AD agent,,Blaze Thunderstrike,alice.smith@example.org,8,,,,,Perform RealTimeSync by AD agent,,3,,6272
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Authenticate user with AD agent,,Nova Frostbane,melissa.kelly@dummyinbox.net,8,,,,,Authenticate user with AD agent,,3,,2884
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Authenticate user with AD agent,,Crimson Tempest,olivia.perry@testinginbox.xyz,2,,,,,Authenticate user with AD agent,,3,,2867
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Authentication of user via Radius,,Seraphina Dragonheart,olivia.perry@testinginbox.xyz,8,,,,,Authentication of user via Radius,,3,,1443
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Windows,Logon,,Luna Moonshadow,emma.jenkins@examplemail.biz,8,User,,203.0.113.0,/oauth2/v1/introspect,Logon,,3,,1443
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Authentication of user via Radius,,Maximus Stormbringer,mike.anderson@mytestmail.org,8,,,,,Authentication of user via Radius,,3,,1442
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Windows,Logon,,Zara Midnightshadow,ryan.collins@fakemailbox.net,8,User,,10.0.0.6,/audit/logs/network,Logon,,3,,1442
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Verify user identity,,Maximus Stormbringer,emma.jenkins@examplemail.biz,8,,,,,Verify user identity,,3,,1251
Okta,Okta,Okta,Okta,security,Ohio,,On Office Network,UNKNOWN,ALLOW,Linux,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,192.168.1.1,/oauth2/v1/introspect,Logon,,3,,1024
Okta,Okta,Okta,Okta,security,Ohio,,DDS - No MFA - On Prem,UNKNOWN,ALLOW,Unknown,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,203.0.113.2,/oauth2/v1/introspect,Logon,,3,,883
Okta,Okta,Okta,Okta,security,Illinois,,On Office Network,UNKNOWN,ALLOW,Linux,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,10.0.0.6,/audit/logs/system,Logon,,3,,792
Okta,Okta,Okta,Okta,security,Illinois,,DDS - No MFA - On Prem,UNKNOWN,ALLOW,Unknown,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,127.0.0.1,/security/logs/authentication,Logon,,3,,784
Okta,Okta,Okta,Okta,security,Illinois,,,UNKNOWN,SUCCESS,Linux,Logon,,Thunder Hammerstrike,emily.white@example.com,8,User,,172.16.0.7,/oauth2/v1/token,Logon,,3,,635
Okta,Okta,Okta,Okta,security,Illinois,,,UNKNOWN,SUCCESS,Unknown,Logon,,Ragnarok Shadowblade,brian.hughes@samplemailing.co,8,User,Google Workspace,10.0.0.8,/audit/logs/system,Logon,,3,Valkyrie Firestorm,634
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Unknown,Logon,,Venus Starlight,alice.smith@example.org,8,User,Datadog,192.168.0.2,/security/logs/authorization,Logon,,3,Ignatius Inferno,619
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Linux,Logon,,Nebula Stardust,bob.jones@fakecorp.net,8,User,,192.168.0.4,/security/logs/intrusion-detection,Logon,,3,,617
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Agentless DSSO Auth,,Astra Solarflare,daniel.ward@virtualmail.io,2,,,,,Agentless DSSO Auth,,3,,503
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Successfully imported new member to an app group,,Crimson Tempest,ryan.collins@fakemailbox.net,2,,,,,Successfully imported new member to an app group,,3,,496
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Authentication of user via Radius,,Thunder Hammerstrike,emily.white@dummyemail.biz,8,,,,,Authentication of user via Radius,,3,,455
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC authorization code request,,Orion Lightningstrike,sarah.wilson@example.com,11,,,,,OIDC authorization code request,,3,,415
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC access token is granted,,Venus Starlight,ryan.collins@fakemailbox.net,11,,,,,OIDC access token is granted,,3,,413
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC id token is granted,,Astra Solarflare,emily.white@example.com,11,,,,,OIDC id token is granted,,3,,413
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Successfully deleted member of an app group,,Maximus Stormbringer,emily.white@dummyemail.biz,2,,,,,Successfully deleted member of an app group,,3,,412
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC access token is granted,,Crimson Tempest,anna.hall@custommail.io,11,,,,,OIDC access token is granted,,3,,243
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC id token is granted,,Valkyrie Firestorm,alice.smith@example.org,11,,,,,OIDC id token is granted,,3,,243
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC authorization code request,,Valkyrie Firestorm,mark.miller@yourtestmail.biz,11,,,,,OIDC authorization code request,,3,,242
Okta,Okta,Okta,Okta,security,,,,,FAILURE,,Claim evaluation for OAuth2 token,user_claim_evaluation_failure,Celestia Thunderstorm,mike.anderson@example.com,11,,,,,Claim evaluation for OAuth2 token,,3,,235
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Verify user identity,,Venus Starlight,lisa.brown@nonexistentmail.net,8,,,,,Verify user identity,,3,,180
Okta,Okta,Okta,Okta,security,Ohio,,DDS - No MFA - On Prem,UNKNOWN,ALLOW,Linux,Logon,Sign-on policy evaluation resulted in ALLOW,,,8,,,198.51.100.9,/security/logs/authorization,Logon,,3,,169
Okta,Okta,Okta,Okta,security,,,,,,,,,,,,,,,,,,3,,142
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC access token is granted,,Phoenix Emberstorm,kevin.green@placeholderemail.co,11,,,,,OIDC access token is granted,,3,,114
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC id token is granted,,Nova Frostbane,mike.anderson@mytestmail.org,11,,,,,OIDC id token is granted,,3,,114
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC refresh token is granted,,Zara Midnightshadow,sarah.wilson@testingmail.xyz,11,,,,,OIDC refresh token is granted,,3,,114
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Unknown,Logon,,Thunder Hammerstrike,alice.smith@example.com,8,User,Cloudflare,192.0.2.7,/oauth2/v1/authorize,Logon,,3,Luna Moonshadow,113
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Linux,Logon,,Ragnarok Shadowblade,ryan.collins@fakemailbox.net,8,User,,203.0.113.4,/security/logs/authorization,Logon,,3,,113
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Verify user identity,,Thunder Hammerstrike,anna.hall@custommail.io,8,,,,,Verify user identity,,3,,72
Okta,Okta,Okta,Okta,security,,,,,FAILURE,,Authenticate user with AD agent,Authentication failed: bad username or password,Valkyrie Firestorm,sarah.wilson@testingmail.xyz,2,,,,,Authenticate user with AD agent,,3,,71
Okta,Okta,Okta,Okta,security,,,,,FAILURE,,Perform RealTimeSync by AD agent,Group Membership Unchanged,Nova Frostbane,alice.smith@example.com,8,,,,,Perform RealTimeSync by AD agent,,3,,70
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC authorization code request,,Seraphina Dragonheart,kevin.green@placeholderemail.co,11,,,,,OIDC authorization code request,,3,,69
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC access token is granted,,Zara Midnightshadow,john.doe@acme.com,11,,,,,OIDC access token is granted,,3,,69
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC id token is granted,,Draven Nightshade,bob.jones@example.com,11,,,,,OIDC id token is granted,,3,,69
Okta,Okta,Okta,Okta,security,Illinois,,,UNKNOWN,SUCCESS,Unknown,Logon,,Astra Solarflare,emily.white@dummyemail.biz,8,User,Salesforce,10.0.0.5,/oauth2/v1/introspect,Logon,,3,Celestia Thunderstorm,67
Okta,Okta,Okta,Okta,security,Illinois,,,UNKNOWN,SUCCESS,Linux,Logon,,Blaze Thunderstrike,brian.hughes@samplemailing.co,8,User,,192.168.0.2,/oauth2/v1/token,Logon,,3,,67
Okta,Okta,Okta,Okta,security,,,,,FAILURE,,OIDC authorization request,login_required,Ragnarok Shadowblade,sarah.wilson@testingmail.xyz,11,,,,,OIDC authorization request,,3,,64
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Unknown,Logon,,Maximus Stormbringer,chris.martin@sampleco.co,8,User,Twilio,203.0.113.4,/audit/logs/access,Logon,,3,Blaze Thunderstrike,54
Okta,Okta,Okta,Okta,security,Ohio,,,UNKNOWN,SUCCESS,Linux,Logon,,Seraphina Dragonheart,kevin.green@example.com,8,User,,203.0.113.3,/audit/logs/system,Logon,,3,,54
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,Verify user identity,,Zephyr Blaze,emma.jenkins@examplemail.biz,8,,,,,Verify user identity,,3,,49
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC access token is granted,,Orion Lightningstrike,anna.hall@custommail.io,11,,,,,OIDC access token is granted,,3,,48
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC authorization code request,,Draven Nightshade,sarah.wilson@testingmail.xyz,11,,,,,OIDC authorization code request,,3,,48
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC id token is granted,,Orion Lightningstrike,laura.moore@sandboxmail.co,11,,,,,OIDC id token is granted,,3,,48
Okta,Okta,Okta,Okta,security,,,,,SUCCESS,,OIDC access token is granted,,Seraphina Dragonheart,melissa.kelly@dummyinbox.net,11,,,,,OIDC access token is granted,,3,,48
