TimeGenerated,dataSource.vendor,status,client.geographicalContext.city,client.geographicalContext.postalCode,client.geographicalContext.state,client.userAgent.browser,client.userAgent.os,outcome.result,authenticationContext.authenticationProvider,authenticationContext.authenticationStep,authenticationContext.credentialType,authenticationContext.externalSessionId,dataSource.category,client.device,outcome.reason,actor.alternateId,actor.displayName,client.ipAddress,actor.type,debugContext.debugData.url
"6/4/2021, 4:00:37.371 PM","Okta","active",Issaquah,98029,Washington,CHROME,Windows 10,SUCCESS,,0,,1234kljh1234kjh123k4jh12,security,Computer,,abc@sample.com,My Name1,192.168.1.105,User,/api/v1/authn/factors/smsk5kyyiw2p7/verify?rememberDevice=true
"6/4/2021, 4:00:38.371 PM","Okta","active",Dayton,45424,Ohio,CHROME,Windows 10,SUCCESS,,0,,23452kj3g4j5g2435kj2gjg52j,security,Computer,,def@sample.com,My Name2,192.168.1.106,User,/app/workday/exka2jirv0eRKYS3U2p7/sso/saml?
"6/4/2021, 4:00:39.371 PM","Okta","active",Issaquah,98029,Washington,CHROME,Windows 10,CHALLENGE,,0,,2h34g5kj2h3g5j235g23jg52,security,Computer,Sign-on policy evaluation resulted in CHALLENGE,ghi@sample.com,My Name 3,192.168.1.107,User,/api/v1/authn?
"6/4/2021, 4:00:37.371 PM","Okta","active",Hixson,37343,Tennessee,UNKNOWN,Windows,FAILURE,,0,,unknown,security,Computer,,jkl@sample.com,My Name 4,192.168.1.108,User,/app/office365/exkr7r4akZR86/sso/wsfed/username13?
"6/4/2021, 4:00:40.371 PM","Okta","active",Issaquah,98029,Washington,CHROME,Windows 10,SUCCESS,,0,,1234jh34lkhj221h412hj1,security,Computer,,mno@sample.com,My Name 5,192.168.1.110,User,/api/v1/authn?
"6/4/2021, 4:00:37.371 PM","Okta","active",Issaquah,98029,Washington,CHROME,Windows 10,SUCCESS,ACTIVE_DIRECTORY,0,PASSWORD,unknown,security,Computer,,abc@sample.com,Okta System,192.168.1.105,SystemPrincipal,/api/v1/authn?
"6/4/2021, 4:00:38.371 PM","Okta","active",Phoenix,85016,Arizona,UNKNOWN,Windows 8,SUCCESS,,0,,1234kljh1234kjh123k4jh12,security,Computer,,abc@sample.com,Okta ServiceAccount,192.168.1.106,User,/api/1/internal/app/activedirectory/0oap26vXleOgO2p6/agent/a50gDtp2p7/actionResult?responseId=2xxxxxxc-ae2d-44ac-9887-44ad9e30aa8f
"6/4/2021, 4:00:39.371 PM","Okta","active",Clover,29710,South Carolina,CHROME,Windows 10,SUCCESS,,0,,23452kj3g4j5g2435kj2gjg52j,security,Computer,,abc@sample.com,My Name1,192.168.1.107,User,/api/v1/authn/factors/smsk5kyyiw2p7/verify?rememberDevice=true
"6/4/2021, 4:00:37.371 PM","Okta","active",Kannapolis,28081,North Carolina,UNKNOWN,Windows,SUCCESS,,0,,2h34g5kj2h3g5j235g23jg52,security,Computer,,def@sample.com,My Name2,192.168.1.108,User,/app/workday/exka2jirv0eRKYS3U2p7/sso/saml?
"6/4/2021, 4:00:40.371 PM","Okta","active",Kannapolis,28081,North Carolina,UNKNOWN,Windows,SUCCESS,,0,,unknown,security,Computer,,ghi@sample.com,My Name 3,192.168.1.110,User,/api/v1/authn?
"6/4/2021, 4:00:37.371 PM","Okta","active",Kannapolis,28081,North Carolina,UNKNOWN,Windows,SUCCESS,ACTIVE_DIRECTORY,0,PASSWORD,1234jh34lkhj221h412hj1,security,Computer,,jkl@sample.com,My Name 4,192.168.1.105,SystemPrincipal,/app/office365/exkr7r4akZR86/sso/wsfed/username13?
"6/4/2021, 4:00:38.371 PM","Okta","active",Fort Mill,29707,South Carolina,UNKNOWN,Windows 8,SUCCESS,,0,,1234kljh1234kjh123k4jh12,security,Computer,,mno@sample.com,My Name 5,192.168.1.106,User,/api/v1/authn?
"6/4/2021, 4:00:39.371 PM","Okta","active",Lawrence,1841,Massachusetts,CHROME,Windows 10,SUCCESS,,0,,23452kj3g4j5g2435kj2gjg52j,security,Computer,,abc@sample.com,My Name1,192.168.1.107,PublicClientApp,/api/v1/authn?
"6/4/2021, 4:00:37.371 PM","Okta","active",Lawrence,1841,Massachusetts,CHROME,Windows 10,SUCCESS,,0,,2h34g5kj2h3g5j235g23jg52,security,Computer,,def@sample.com,My Name2,192.168.1.108,User,/api/1/internal/app/activedirectory/0oap26vXleOgO2p6/agent/a50gDtp2p7/actionResult?responseId=2xxxxxxc-ae2d-44ac-9887-44ad9e30aa8f
"6/4/2021, 4:00:40.371 PM","Okta","active",Lawrence,1841,Massachusetts,CHROME,Windows 10,SUCCESS,,0,,unknown,security,Computer,,ghi@sample.com,My Name 3,192.168.1.110,PublicClientApp,/api/v1/authn/factors/smsk5kyyiw2p7/verify?rememberDevice=true
"6/4/2021, 4:00:37.371 PM","Okta","active",Lawrence,1841,Massachusetts,CHROME,Windows 10,SUCCESS,,0,,1234jh34lkhj221h412hj1,security,Computer,,jkl@sample.com,My Name 4,192.168.1.105,PublicClientApp,/app/workday/exka2jirv0eRKYS3U2p7/sso/saml?
"6/4/2021, 4:00:38.371 PM","Okta","active",Lawrence,1841,Massachusetts,CHROME,Windows 10,ALLOW,,0,,1234kljh1234kjh123k4jh12,security,Computer,Sign-on policy evaluation resulted in ALLOW,mno@sample.com,My Name 5,192.168.1.106,User,/api/v1/authn?
"6/4/2021, 4:00:39.371 PM","Okta","active",Virginia Beach,23454,Virginia,CHROME,Windows 10,SUCCESS,,0,,23452kj3g4j5g2435kj2gjg52j,security,Computer,,abc@sample.com,My Name1,192.168.1.107,User,/app/office365/exkr7r4akZR86/sso/wsfed/username13?
"6/4/2021, 4:00:37.371 PM","Okta","active",Lawrence,1841,Massachusetts,CHROME,Windows 10,FAILURE,,0,,2h34g5kj2h3g5j235g23jg52,security,Computer,,def@sample.com,My Name2,192.168.1.108,User,/api/v1/authn?
"6/4/2021, 4:00:40.371 PM","Okta","active",Knoxville,37917,Tennessee,CHROME,Windows 10,SUCCESS,,0,,unknown,security,Computer,,ghi@sample.com,My Name 3,192.168.1.110,User,/api/v1/authn?
"6/4/2021, 4:00:37.371 PM","Okta","active",Fort Mill,29707,South Carolina,CHROME,Windows 10,SUCCESS,,0,,1234jh34lkhj221h412hj1,security,Computer,,jkl@sample.com,My Name 4,192.168.1.105,User,/api/1/internal/app/activedirectory/0oap26vXleOgO2p6/agent/a50gDtp2p7/actionResult?responseId=2xxxxxxc-ae2d-44ac-9887-44ad9e30aa8f
"6/4/2021, 4:00:38.371 PM","Okta","active",Charlotte,28233,North Carolina,CHROME,Windows 10,SUCCESS,,0,,1234kljh1234kjh123k4jh12,security,Computer,,mno@sample.com,My Name 5,192.168.1.106,User,/api/v1/authn/factors/smsk5kyyiw2p7/verify?rememberDevice=true
"6/4/2021, 4:00:39.371 PM","Okta","active",Fort Mill,29707,South Carolina,CHROME,Windows 10,SUCCESS,,0,,23452kj3g4j5g2435kj2gjg52j,security,Computer,,abc@sample.com,My Name1,192.168.1.107,User,/app/workday/exka2jirv0eRKYS3U2p7/sso/saml?
