dataSource.vendor,dataSource.name,dataSource.category,status_detail,src_endpoint.location.region,actor.user.type,actor.user.name,actor.email_addr,src_endpoint.ip,unmapped.debug_context,status,unmapped.actor.alternateId,http_request.url.path
Okta,Okta,security,LOCKED_OUT,Illinois,User,Zephyr Blaze,,172.16.0.7,,FAILURE,,/audit/logs/access
Okta,Okta,security,LOCKED_OUT,Illinois,User,Luna Moonshadow,,172.16.0.3,,FAILURE,,/security/logs/authentication
Okta,Okta,security,LOCKED_OUT,Pennsylvania,User,Luna Moonshadow,,192.0.2.7,,FAILURE,,/security/logs/authentication
Okta,Okta,security,LOCKED_OUT,Florida,User,Seraphina Dragonheart,,172.16.0.3,,FAILURE,,/audit/logs/access
Okta,Okta,security,LOCKED_OUT,Arizona,User,Orion Lightningstrike,,203.0.113.3,,FAILURE,,/oauth2/v1/introspect
Okta,Okta,security,LOCKED_OUT,Georgia,User,Zara Midnightshadow,,172.16.0.7,,FAILURE,,/audit/logs/system
Okta,Okta,security,LOCKED_OUT,Delaware,User,Valkyrie Firestorm,,8.8.8.8,,FAILURE,,/audit/logs/network
Okta,Okta,security,LOCKED_OUT,Delaware,User,Phoenix Emberstorm,,192.168.0.5,,FAILURE,,/security/logs/intrusion-detection
Okta,Okta,security,LOCKED_OUT,Delaware,User,Phoenix Emberstorm,,1.1.1.1,,FAILURE,,/security/logs/authentication-failures
Okta,Okta,security,LOCKED_OUT,Delaware,User,Venus Starlight,,8.8.8.8,,FAILURE,,/security/logs/authentication
Okta,Okta,security,LOCKED_OUT,Delaware,User,Zephyr Blaze,,203.0.113.0,,FAILURE,,/security/logs/authorization
Okta,Okta,security,LOCKED_OUT,Pennsylvania,User,Phoenix Emberstorm,,203.0.113.9,,FAILURE,,/oauth2/v1/authorize
Okta,Okta,security,LOCKED_OUT,Pennsylvania,User,Nebula Stardust,,203.0.113.0,,FAILURE,,/oauth2/v1/authorize
Okta,Okta,security,LOCKED_OUT,Pennsylvania,User,Maximus Stormbringer,,203.0.113.7,,FAILURE,,/audit/logs/network
Okta,Okta,security,LOCKED_OUT,Florida,User,Thunder Hammerstrike,,172.16.0.2,,FAILURE,,/security/logs/authentication-failures
Okta,Okta,security,LOCKED_OUT,Pennsylvania,User,Blaze Thunderstrike,,203.0.113.8,,FAILURE,,/security/logs/authentication-failures
Okta,Okta,security,LOCKED_OUT,Pennsylvania,User,Draven Nightshade,,203.0.113.2,,FAILURE,,/audit/logs/access
Okta,Okta,security,LOCKED_OUT,Pennsylvania,User,Draven Nightshade,,192.0.2.5,,FAILURE,,/audit/logs/network
Okta,Okta,security,LOCKED_OUT,Pennsylvania,User,Orion Lightningstrike,,10.0.0.3,,FAILURE,,/audit/logs/access
Okta,Okta,security,LOCKED_OUT,Georgia,User,Draven Nightshade,,172.16.0.9,,FAILURE,,/oauth2/v1/authorize
Okta,Okta,security,LOCKED_OUT,Delaware,User,Nova Frostbane,,172.16.0.9,,FAILURE,,/oauth2/v1/token
Okta,Okta,security,LOCKED_OUT,Delaware,User,Astra Solarflare,,198.51.100.4,,FAILURE,,/audit/logs/access
Okta,Okta,security,LOCKED_OUT,Delaware,User,Celestia Thunderstorm,,172.16.0.9,,FAILURE,,/audit/logs/network
Okta,Okta,security,LOCKED_OUT,Pennsylvania,User,Thunder Hammerstrike,,203.0.113.4,,FAILURE,,/audit/logs/system
